"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","time.lasso.cv","time.scad.cv","sel.model","est.mse","recovery","nb.tI.b0","nb.tI.b1","nb.tII.b0","nb.tII.b1","est.size","FP","TP","FDR","power"
"EBIC",60,700,0.33,"TRUE","TRUE","FALSE","19.7533292193338","9.75111474995566","10.0022144693781","14.427","0.489","1.052","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",4.22804168937905e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",61,700,0.33,"TRUE","TRUE","FALSE","20.1159636058236","10.1144623484926","10.001501257331","12.544","0.522","1.102","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",7.66169668507673e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",62,700,0.33,"TRUE","TRUE","FALSE","20.122469613375","10.1205708614146","10.0018987519604","13.661","0.503","1.075","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",6.37047709125009e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",63,700,0.33,"TRUE","TRUE","FALSE","20.2936376100338","10.2918346910529","10.0018029189809","13.972","0.494","1.079","1,2,3,4,5,6,7,8,9,10,587,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",6.60738804751423e-05,FALSE,1,0,0,0,21,1,20,0.0476190476190476,1
"EBIC",64,700,0.33,"TRUE","TRUE","FALSE","20.1694994221572","10.1589861824567","10.0105132397004","13.469","0.513","1.098","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",6.25362099924239e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",65,700,0.33,"TRUE","TRUE","FALSE","20.1221817659761","10.1206324007918","10.0015493651843","13.572","0.544","1.253","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",5.9277498570493e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",66,700,0.33,"TRUE","TRUE","FALSE","20.1132926966743","10.1098965231263","10.003396173548","13.102","0.521","1.192","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",3.22669310173435e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",67,700,0.33,"TRUE","TRUE","FALSE","20.1460729265021","10.1443014862574","10.0017714402447","13.8","0.525","1.126","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",2.36430615727225e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",68,700,0.33,"TRUE","TRUE","FALSE","20.2444798217078","10.2397150296725","10.0047647920353","14.068","0.505","1.101","1,2,3,4,5,6,7,8,9,10,916,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",8.06987147455801e-05,FALSE,1,0,0,0,21,1,20,0.0476190476190476,1
"EBIC",69,700,0.33,"TRUE","TRUE","FALSE","20.1087054944986","10.1052892383101","10.0034162561884","12.568","0.508","1.077","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",6.6526125156934e-05,TRUE,0,0,0,0,20,0,20,0,1
